h    deltaC_at_X5
1.000000000000000e-01    3.605689556415173e-07
5.000000000000000e-02    2.346080650382354e-08
2.500000000000000e-02    1.494399167398543e-09
1.250000000000000e-02    9.426411225252687e-11
6.250000000000000e-03    5.918440564463189e-12
3.125000000000000e-03    3.718620601298842e-13
1.562500000000000e-03    2.376281145624946e-14
7.812500000000000e-04    2.196572049527379e-15
